Dates,CDAR
2017-08-20,-0.0538480597637912
2017-08-27,-0.16939461840509223
2017-09-03,-0.02521657086135376
2017-09-10,0.006215432161122525
2017-09-17,-0.24856625711202052
2017-09-24,0.002747292367575649
2017-10-01,-0.007572406756169547
2017-10-08,0.722476750988119
2017-10-15,0.38298853569375507
2017-10-22,0.1658123336670442
2017-10-29,-0.11948503295900575
2017-11-05,0.012089820065429746
2017-11-12,0.14047182428732363
2017-11-19,0.007052434161694154
2017-11-26,-0.3180416766993831
2017-12-03,0.1801760909573083
2017-12-10,-0.03160902138078936
2017-12-17,0.012488882987750916
2017-12-24,-0.07720208511109211
2017-12-31,0.1692790278516506
2018-01-07,-0.022930894414248115
2018-01-14,-0.08009781445694131
2018-01-21,0.1642724261515105
2018-01-28,-0.34844946971621293
2018-02-04,-0.05363940118059591
2018-02-11,-0.13462539591879208
2018-02-18,0.1141719138719868
2018-02-25,0.17775921599325667
2018-03-04,-0.3480114099042214
2018-03-11,-0.1268562568414684
2018-03-18,0.5187429200987478
2018-03-25,-0.15595445981027234
2018-04-01,-0.36445368572149206
2018-04-08,0.02961463539267367
2018-04-15,0.03595683168453373
2018-04-22,-0.14374413356806942
2018-04-29,-0.02965819189635166
2018-05-06,0.05467680537224234
2018-05-13,0.1487711041200653
2018-05-20,-0.04346721333534645
2018-05-27,0.041368673723718746
2018-06-03,-0.10375168175726071
2018-06-10,0.05939217135983549
2018-06-17,0.12036072322650587
2018-06-24,-0.039037374675237824
2018-07-01,0.014441037971365617
2018-07-08,0.029358246007271938
2018-07-15,0.03734451299769076
2018-07-22,0.03873613729430718
2018-07-29,-0.03982633631332318
2018-08-05,-0.017347382319805454
2018-08-12,-0.10555529487188592
2018-08-19,-0.05517370587522488
2018-08-26,-0.35979596975769096
2018-09-02,0.4628352991370107
2018-09-09,-0.058518701530378
2018-09-16,-0.1377760151939586
2018-09-23,-0.08614860500638538
2018-09-30,-0.051858451421295526
2018-10-07,0.017755545144148732
2018-10-14,0.016283466077427755
2018-10-21,-0.08669062158488305
2018-10-28,-0.07349913070088099
2018-11-04,-0.23894417770287657
2018-11-11,-0.3543112258753436
2018-11-18,0.05738347138893296
2018-11-25,0.014598970152413182
2018-12-02,-0.06836439436776987
2018-12-09,0.03086105342486345
2018-12-16,0.05280679721362325
2018-12-23,0.055790757539878166
2018-12-30,0.1653476667951309
2019-01-06,0.3572472005156001
2019-01-13,-0.04144433740044273
2019-01-20,-0.08564754058063673
2019-01-27,0.3930080757881326
2019-02-03,-0.18669047079151535
2019-02-10,0.0775756106008395
2019-02-17,0.22372719942895553
2019-02-24,-0.3870605730135581
2019-03-03,-0.03464228261158342
2019-03-10,-0.10251281023465975
2019-03-17,0.05122195133739471
2019-03-24,0.19843334218438924
2019-03-31,-0.03914284001191998
2019-04-07,0.41329423214408456
2019-04-14,0.0032488979782604177
2019-04-21,-0.004871206052073626
2019-04-28,-0.0041255010367584055
2019-05-05,0.13696266964537268
2019-05-12,-0.0032607725761182246
2019-05-19,-0.13791204714787664
2019-05-26,-0.060569467294798035
2019-06-02,0.05200467438779256
2019-06-09,0.6023632942299522
2019-06-16,-0.07361860574551787
2019-06-23,0.21784799671943483
2019-06-30,0.031288343056110945
2019-07-07,0.0456410048442516
2019-07-14,-0.08108026753865027
2019-07-21,0.25680943571046455
2019-07-28,0.1491089972924846
2019-08-04,-0.2187016615044881
2019-08-11,-0.22321634622182485
2019-08-18,-0.30620953559679326
2019-08-25,0.07846430621429906
2019-09-01,0.577951753695445
2019-09-08,-0.042958066958813323
2019-09-15,0.10636089301057383
2019-09-22,0.027058238270100787
2019-09-29,0.6226588202246321
2019-10-06,-0.13228952474036348
2019-10-13,0.4635851150700052
2019-10-20,-0.31754026821725234
2019-10-27,0.688117225166655
2019-11-03,0.029146320836593187
2019-11-10,-0.026754579221202945
2019-11-17,0.38413059329199006
2019-11-24,-0.10632271659544701
2019-12-01,0.08671919696237262
2019-12-08,0.04536604865849547
2019-12-15,-0.0009735824325756148
2019-12-22,-0.2755600993559777
2019-12-29,0.06612484796174467
2020-01-05,0.06778625573804709
2020-01-12,0.026913643527815445
2020-01-19,-0.08058706610675825
2020-01-26,1.433043110714383
2020-02-02,-0.29039819096084196
2020-02-09,0.21955026475341732
2020-02-16,-0.2529945717514348
2020-02-23,-0.6252350581480712
2020-03-01,-0.42519293933415137
2020-03-08,-0.33002916121463644
2020-03-15,-0.7312288504644195
2020-03-22,-0.0825226711720799
2020-03-29,0.3699184990968658
2020-04-05,-0.19492642437212204
2020-04-12,-0.1189420467296396
2020-04-19,-0.5393698634727084
2020-04-26,0.08231710774880119
2020-05-03,-0.20871992397702444
2020-05-10,0.31094042378002806
2020-05-17,-0.11844584338762765
2020-05-24,0.03895963926676416
2020-05-31,-0.00481142935476675
2020-06-07,0.036438989605844574
2020-06-14,-0.06701147249769623
2020-06-21,0.08725580462587845
2020-06-28,0.10626875019132753
2020-07-05,0.03725017026827104
2020-07-12,-0.1984925042078125
2020-07-19,-0.07254484823102225
2020-07-26,0.07512887502728982
2020-08-02,-0.037558229203409565
2020-08-09,0.0009296976371153676
2020-08-16,-0.10072489367813087
2020-08-23,-0.05252737680463082
2020-08-30,0.18606283701824822
2020-09-06,0.1881028866825587
2020-09-13,0.10139053807195086
2020-09-20,0.08121884347253605
2020-09-27,0.005625595030184671
2020-10-04,-0.16752164364540523
2020-10-11,0.09988045666286371
2020-10-18,-0.18094936336530854
2020-10-25,-0.2600642882905214
2020-11-01,0.31539448763392397
2020-11-08,-0.4288299976962916
